id,name,lat,long,installed
113,Columbus Circle / Union Station,38.89696,-77.00493,true
114,North Capitol St & F St NW,38.897446,-77.009888,true
115,11th & M St NW,38.905607,-77.027137,true
116,36th & Calvert St NW / Glover Park,38.922581,-77.070334,true
117,14th & G St NW,38.898069,-77.031823,true
118,Potomac Ave & 35th St S,38.844015,-77.050537,true
124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,true
125,11th & F St NW,38.897857,-77.026975,true
126,23rd & E St NW ,38.896104,-77.049882,true
127,Lynn & 19th St North,38.897315,-77.070993,true
128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.8946,-77.072305,true
129,Clarendon Blvd & Pierce St,38.893648,-77.076701,true
130,Court House Metro / Wilson Blvd & N Uhle St,38.891696,-77.0846,true
131,N Rhodes & 16th St N,38.892164,-77.079375,true
132,Fairfax Village,38.86559,-76.952103,true
133,21st St & Constitution Ave NW,38.892459,-77.046567,true
134,Wilson Blvd & N Edgewood St,38.889,-77.0925,true
135,Columbia Rd & Belmont St NW,38.920669,-77.04368,true
136,17th & Rhode Island Ave NW,38.906602,-77.038785,true
137,Thomas Circle,38.9059,-77.0325,true
138,Wilson Blvd & Franklin Rd,38.8904,-77.0889,true
139,Clarendon Blvd & N Fillmore St,38.8881,-77.09308,true
140,Clarendon Metro / Wilson Blvd & N Highland St,38.88786,-77.094875,true
141,18th St & Pennsylvania Ave NW,38.89968,-77.041539,true
142,Maryland & Independence Ave SW,38.887299,-77.018939,true
143,4th & E St SW,38.88412,-77.017445,true
144,3rd & G St SE,38.881185,-77.001828,true
145,7th & R St NW / Shaw Library,38.912719,-77.022155,true
146,9th & Upshur St NW,38.9418,-77.0251,true
147,1st & Rhode Island Ave NW,38.915417,-77.012289,true
148,Columbia Rd & Georgia Ave NW,38.928156,-77.02344,true
149,California St & Florida Ave NW,38.917761,-77.04062,true
150,Benning Rd & East Capitol St NE / Benning Rd Metro,38.889935,-76.93723,true
151,3000 Connecticut Ave NW / National Zoo,38.930282,-77.055599,true
152,Anacostia Ave & Benning Rd NE / River Terrace ,38.896544,-76.96012,true
153,M St & Pennsylvania Ave NW,38.905126,-77.056887,true
154,15th St & Massachusetts Ave SE,38.88732,-76.983569,true
155,Congress Heights Metro,38.844711,-76.987823,true
156,N Quincy St & Glebe Rd,38.876393,-77.107735,true
157,Wilson Blvd & N Oakland St,38.8815,-77.10396,true
158,N Veitch  & 20th St N,38.896923,-77.086502,true
159,11th & K St NW,38.90268,-77.02674,true
160,Fairfax Dr & Wilson Blvd,38.885801,-77.097745,true
161,Key Blvd & N Quinn St,38.896015,-77.078107,true
162,1st & K St SE,38.87861,-77.006004,true
163,39th & Calvert St NW / Stoddert,38.922649,-77.077271,true
164,1st & Washington Hospital Center NW,38.928743,-77.012457,true
165,Virginia Square Metro / N Monroe St & 9th St N,38.882788,-77.103148,true
166,Central Library / N Quincy St & 10th St N,38.88397,-77.10783,true
167,Washington Blvd & 10th St N,38.884734,-77.093485,true
168,Jefferson Dr & 14th St SW,38.888553,-77.032429,true
169,Smithsonian / Jefferson Dr & 12th St SW,38.888767,-77.02858,true
170,George Mason Dr & Wilson Blvd,38.87887,-77.1207,true
171,6th St & Indiana Ave NW,38.894573,-77.01994,true
172,N Veitch & Key Blvd,38.893241,-77.086045,true
173,N Adams St & Lee Hwy,38.89593,-77.089006,true
174,15th & N Scott St,38.89054,-77.08095,true
175,Washington Blvd & 7th St N,38.880834,-77.091129,true
176,Ballston Metro / N Stuart & 9th St N,38.881044,-77.111768,true
177,N Randolph St & Fairfax Dr,38.882629,-77.109366,true
178,Jefferson Memorial,38.879819,-77.037413,true
179,Good Hope Rd & 14th St SE,38.866611,-76.985238,true
180,Glebe Rd & 11th St N,38.883921,-77.116817,true
181,N Quincy St & Wilson Blvd,38.880151,-77.107673,true
182,Fairfax Dr & Kenmore St,38.884616,-77.10108,true
183,Gallaudet / 8th St & Florida Ave NE,38.90509,-76.9941,true
185,20th & L St NW,38.903584,-77.044789,true
186,12th & L St NW,38.903819,-77.0284,true
187,21st St & Pennsylvania Ave NW,38.901539,-77.046564,true
188,19th & K St NW,38.902204,-77.04337,true
189,Prince St & Union St,38.803124,-77.040363,true
190,Market Square / King St & Royal St,38.804718,-77.043363,true
191,Saint Asaph St & Pendleton  St,38.810743,-77.044664,true
192,King St & Patrick St,38.805317,-77.049883,true
193,15th & K St NW,38.902,-77.03353,true
194,Commerce St & Fayette St,38.805648,-77.05293,true
195,Henry St & Pendleton St,38.811456,-77.050276,true
196,Braddock Rd Metro,38.814577,-77.052808,true
197,King St Metro,38.805767,-77.06072,true
198,24th & N St NW,38.9066,-77.05152,true
199,10th & E St NW,38.895914,-77.026064,true
200,22nd & I St NW / Foggy Bottom,38.90088,-77.048911,true
201,Utah St & 11th St N ,38.883669,-77.113905,true
202,Barton St & 10th St N,38.884961,-77.08777,true
203,Arlington Blvd & N Queen St,38.889365,-77.077294,true
204,Lincoln Memorial,38.888251,-77.049426,true
206,20th St & Virginia Ave NW,38.894722,-77.045128,true
207,5th St & Massachusetts Ave NW,38.90093,-77.018677,true
208,39th & Veazey St NW,38.943837,-77.077078,true
209,Fessenden St & Wisconsin Ave NW,38.954812,-77.082426,true
210,M St & Delaware Ave NE,38.905707,-77.003041,true
211,Columbia Pike & S Courthouse Rd,38.863833,-77.080319,true
212,Walter Reed Community Center / Walter Reed Dr & 16th St S,38.857803,-77.086733,true
213,28th St S & S Meade St,38.846222,-77.069275,true
214,18th St & Wyoming Ave NW,38.918809,-77.041571,true
215,5th & Kennedy St NW,38.956595,-77.019815,true
216,Georgia Ave & Emerson St NW,38.949662,-77.027333,true
217,14th & Upshur St NW,38.942016,-77.032652,true
218,14th St & Colorado Ave NW,38.956432,-77.032947,true
219,S Troy St & 26th St S,38.847977,-77.075104,true
220,S Four Mile Run Dr & S Shirlington Rd,38.8444,-77.085931,true
221,S Oakland St & Columbia Pike,38.860789,-77.09586,true
222,S Abingdon St & 36th St S,38.835213,-77.094295,true
223,S Arlington Mill Dr & Campbell Ave,38.84232,-77.089555,true
224,S Kenmore & 24th St S,38.848454,-77.084918,true
225,Connecticut Ave & Yuma St NW,38.947175,-77.065131,true
226,Wisconsin Ave & O St NW,38.90849,-77.063586,true
227,S George Mason Dr & 13th St S,38.854691,-77.100555,true
228,Connecticut & Nebraska Ave NW,38.955016,-77.069956,true
229,17th St & Massachusetts Ave NW,38.908142,-77.038359,true
230,15th & Euclid St  NW,38.92333,-77.0352,true
231,8th & East Capitol St NE,38.889988,-76.995193,true
232,New Jersey Ave & R St NW,38.912659,-77.017669,true
233,15th & East Capitol St NE,38.889908,-76.983326,true
234,8th & F St NE,38.897274,-76.994749,true
235,18th St & Rhode Island Ave NE,38.927095,-76.978924,true
236,15th & F St NE,38.897195,-76.983575,true
237,12th & Irving St NE,38.928644,-76.990955,true
238,34th St & Minnesota Ave SE,38.884085,-76.957461,true
239,Alabama & MLK Ave SE,38.843222,-76.999388,true
240,Pleasant St & MLK Ave SE,38.863897,-76.990037,true
241,Neal St & Trinidad Ave NE,38.903732,-76.987211,true
242,13th & U St NW,38.916794,-77.029779,true
243,S George Mason Dr & Four Mile Run,38.852248,-77.105022,true
244,S Stafford & 34th St S,38.834108,-77.087323,true
245,N Pershing Dr & Wayne St,38.880705,-77.08596,true
246,Columbia Pike & S Orme St,38.867262,-77.072315,true
247,3rd St & Pennsylvania Ave SE,38.887378,-77.001955,true
248,8th & D St NW,38.894851,-77.02324,true
249,3rd & Elm St NW,38.917622,-77.01597,true
250,Rhode Island Ave & V St NE,38.918155,-77.004746,true
251,Constitution Ave & 2nd St NW/DOL,38.892275,-77.013917,true
252,Washington & Independence Ave SW/HHS,38.88731,-77.01397,true
253,Independence Ave & L'Enfant Plaza SW/DOE,38.887397,-77.026154,true
254,Hamlin & 7th St NE,38.927497,-76.997194,true
